state,facility_name,facility_type,street_address,city,county,zip
England,Willow Bank,Assisted Living Facility,5 Barwick Road,Leeds,West Yorkshire,LS15 8SE
England,Willowdene,Assisted Living Facility,Lizard Lane,"Sedgefield, Stockton on Tees",Durham,TS21 3ET
England,Windmill Court,Assisted Living Facility,St Minver,Nr Wadebridge,Cornwall,PL27 6RD
England,Ringway Mews,Assisted Living Facility,"5 Stancliffe Road, Wythenshawe",Manchester,Cheshire,M22 4RY
England,Westbury,Assisted Living Facility,(blank),Westbury/Wilshire,Wiltshire,BA133PR
England,Verulam House,Assisted Living Facility,Verulam Road,St. Albans,Hertfordshire,AL3 4DH
England,Cedar Court I,Assisted Living Facility,Elmbridge Road,Cranleigh,Surrey,GU6 8TX
England,Check House,Assisted Living Facility,61 Beer Road,Seaton,Devon,EX12 2ST
England,Silverleigh,Assisted Living Facility,Silver Street,Axminster,Devon,EX13 5AF
England,Thornfield,Assisted Living Facility,87 Scalwell Lane,Seaton,Devon,EX12 2ST
England,Aspen Court,Assisted Living Facility,Hope Corner Lane,Taunton,Somerset,TA2 7PB
England,Campania,Assisted Living Facility,18-20 Ellenborough Park South,Weston-Super-Mare,Somerset,BS23 1XN
England,Casa Di Lusso,Assisted Living Facility,Bower Lane,Bridgwater,Somerset,TA6 4GU
England,Cedar Lodge,Assisted Living Facility,Hope Corner Lane,Taunton,Somerset,TA2 7PB
England,Clarence Park,Assisted Living Facility,7-9 Clarence Road North,Weston-Super-Mare,Somerset,BS23 4AT
England,Immacolata House,Assisted Living Facility,Portway I,Langport,Somerset,TA10 0NQ
England,La Fontana,Assisted Living Facility,Foldhill Lane,Martock,Somerset,TA12 6PQ
England,Serenita Care,Assisted Living Facility,15-19 Clevedon Road,Weston-Super-Mare,Somerset,BS23 1DA
England,Stuart House,Assisted Living Facility,21-23 Clevedon Road,Weston-Super-Mare,Somerset,BS23 1DA
England,Vane Hill,Assisted Living Facility,15-72 Vane Hill Road,Torquay,Devon,TQ1 2BZ
England,Watford House,Assisted Living Facility,Watford Road,New Mills,Derbyshire,SK22 4EJ
England,Acton Care,Assisted Living Facility,48 Gunnersbury Ln,London,Middlesex,W3 8EF
England,Hatfield,Assisted Living Facility,Tamblin Way,Hatfield,Hertfordshire,AL10 9EZ
England,St. Mary's Court,Assisted Living Facility,Deanery Hill,Braintree,Essex,CM7 5SR
England,Sycamore Court,Assisted Living Facility,"Fitzherbert Dr, Bear Road",Brighton,Sussex,BN2 4DU
England,The New Deanery,Assisted Living Facility,Deanery Hill,Braintree,Essex,CM7 5SR
England,The Lodge I,Assisted Living Facility,Back Lane,Penshall,Tyne & Wear,DH4 7ER
England,Amy Woodgate House,Assisted Living Facility,Nigel Fisher Way,Chessington,Surrey,KT9 2SN
England,Marlborough Court,Assisted Living Facility,7 Copperfield Rd,London,Thamesmead,SE28 8QA
England,Murrayfield,Assisted Living Facility,77 Dysons Road,London,Edmonton,EH12 6AY
England,Norwood Green,Assisted Living Facility,Tentelow Lane,Southall,Middlesex,UB2 4JA
England,Copper Beeches,Assisted Living Facility,5 Sylewood Close,Rochestor,Kent,ME1 3LL
England,Murdoch,Assisted Living Facility,1 Murdoch Road,Workingham,Berkshire,RG40 2DL
England,Woodbury,Assisted Living Facility,Jouldings Lane,Farley Hill,Berkshire,RG7 1UR
England,Hillside Lodge,Assisted Living Facility,Braeside,Berwick upon Tweed,Northumberland,TD15 2BY
England,Charlton Park,Assisted Living Facility,21 Cemetary Lane,Charlton,Greater London,SE7 8DZ
England,Emberbrook,Assisted Living Facility,16 Raphael Drive,Thames Ditton,Surrey,KT7 0BL
England,Headington,Assisted Living Facility,Roosevelt Drive,Headington,Oxfordshire,OX3 7XR
England,Hungerford,Assisted Living Facility,Wantage Road,Hungerford Newtown,Berkshire,RG17 0PN
England,Kingfisher House,Assisted Living Facility,St. Fabians Close,Newmarket,Suffolk,CB8 0EJ
England,Kingston,Assisted Living Facility,Jemmet Close,Kingston upon Thames,Surrey,KT2 7AJ
England,Lansdowne,Assisted Living Facility,Claremont Road,Cricklewood,London Borough of Barnet,NW2 1TU
England,Abigail Lodge,Assisted Living Facility,Goucester Road,Consett,Durham,DH8 7LB
England,Barrington Lodge,Assisted Living Facility,Berkshire Place,Bishop Auckland,Durham,DL 14 6XX
England,Bishopsmead Lodge,Assisted Living Facility,Vicarage Road,Bristol,Bristol,BS13 8ES
England,Brockwell Court,Assisted Living Facility,9 Cobden Street,Consett,Durham,NE23 1XX
England,Granby Rose,Assisted Living Facility,Granby Road,Harrogate,North Yorkshire,HG1 4SR
England,Harbour View,Assisted Living Facility,Bransty Road,Whitehaven,Cumbria,CA28 6HA
England,Harrogate Lodge,Assisted Living Facility,25 Harrogate Road,Leeds,West Yorkshire,LS7 3PD
England,Henleigh Hall,Assisted Living Facility,20 Abbey Lane Dell,Beauchief,Derbyshire,S8 0BZ
England,Hollie Hill,Assisted Living Facility,Durham Road,Stanley,Durham,DH9 6QZ
England,Maple Lodge,Assisted Living Facility,Woolwich Road,Sunderland,Tyne and Wear,SR5 5SF
England,Northlea Court,Assisted Living Facility,Northumbrian Way,Cramlington,Northumberland,NE23 1XX
England,Redwell Hills,Assisted Living Facility,St Ives Road,Leadgate,Durham,DH8 7SN
England,Regents View,Assisted Living Facility,Francis Way,Houghton-le-Spring,Durham,DH5 9EQ
England,Riverside Court,Assisted Living Facility,Salmoor Way,Maryport,Cumbria,CA15 8AZ
England,St Catherines,Assisted Living Facility,Queen Street,Bolton,Greater Manchester,BL6 6QU
England,The Granby,Assisted Living Facility,Granby Road,Harrogate,North Yorkshire,HG1 4SR
England,The Laurels,Assisted Living Facility,Francis Way,Houghton-le-Spring,Durham,DH5 9EQ
England,Warrior Park,Assisted Living Facility,Warrior Drive,Hartlepool,Durham,TS25 1EZ
England,The Lodge II,Assisted Living Facility,1a Knighton Rise,Leicester,Leicestershire,LE2 2RF
Florida,Abbey,Skilled Nursing Facility,7101 Dr. Martin Luther King Jr. Street North,St. Petersburg,Pinellas,33702
Florida,Alpine,Skilled Nursing Facility,3456 21st Avenue South,St. Petersburg,Pinellas,33711
Florida,Bartow,Skilled Nursing Facility,2055 Georgia St. East,Bartow,Polk,33830
Florida,Bay Pointe,Skilled Nursing Facility,4201 31st Street South,St. Petersburg,Pinellas,33712
Florida,Boca Ciega,Skilled Nursing Facility,1414 59th Street,Gulfport,Pinellas,33707
Florida,Boca Raton,Skilled Nursing Facility,755 Meadows Road,Boca Raton,Palm Beach,33486
Florida,Cape Coral,Skilled Nursing Facility,2629 Del Prado Blvd.,Cape Coral,Lee,33904
Florida,Carrollwood,Skilled Nursing Facility,15002 Hutchinson Road,Tampa,Hillsborough,33625
Florida,Casa Mora,Skilled Nursing Facility,1902 59th Street West,Bradenton,Manatee,34209
Florida,Clearwater,Skilled Nursing Facility,1270 Turner St.,Clearwater,Pinellas,33756
Florida,Community Convalescent,Skilled Nursing Facility,2202 West Oak Avenue,Plant City,Hillsborough,33563
Florida,Concordia Manor,Skilled Nursing Facility,321 13th Avenue North,St. Petersburg,Pinellas,33701
Florida,Deerfield Beach (Broward),Skilled Nursing Facility,401 East Sample Road,Pompano Beach,Broward,33064
Florida,Destination (fka Destin),Skilled Nursing Facility,195 Mattie M. Kelly Boulevard,Destin,Okaloosa,32541-2811
Florida,Egret Cove,Skilled Nursing Facility,550 62nd. St.,St. Petersburg,Pinellas,33707
Florida,Elegance Lake Worth,Assisted Living Facility,9948 Woodwind Lane,Lake Worth,Palm Beach,33467
Florida,Emerald Coast,Skilled Nursing Facility,114 3rd Street,Fort Walton Beach,Okaloosa,32548
Florida,Evergreen Woods,Skilled Nursing Facility,7045 Evergreen Woods Tr.,Spring Hill,Hernando,34608
Florida,First Coast,Skilled Nursing Facility,7723 Jasper Avenue,Jacksonville,Duval,32211
Florida,Groves,Skilled Nursing Facility,512 South 11th Street,Lake Wales,Polk,33853
Florida,Highland Pines,Skilled Nursing Facility,1111 South Highland Ave.,Clearwater,Pinellas,33756
Florida,Lake Miriam (Brandywyne),Skilled Nursing Facility,1801 North Lake Mariam Drive,Winter Haven,Polk,33884
Florida,Lake Montgomery (Avalon),Skilled Nursing Facility,1270 SW Main Blvd,Lake City,Columbia,32025
Florida,Lakeland Hills,Skilled Nursing Facility,610 East Bella Vista Dr.,Lakeland,Polk,33805
Florida,North Tampa,Skilled Nursing Facility,18940 Sunlake Boulevard,Lutz,Hillsborough,33558
Florida,Nursing Pavilion at Chipola,Skilled Nursing Facility,4294 3rd Ave,Marianna,Jackson,32446
Florida,Oakview (Doctor's Lake),Skilled Nursing Facility,833 Kingsley Avenue,Orange Park,Clay,32073
Florida,Palm Beaches,Skilled Nursing Facility,301 Northpointe Parkway,West Palm Beach,Palm Beach,33407
Florida,Pensacola (Park Place),Skilled Nursing Facility,1717 West Avery Street,Pensacola,Escambia,32501
Florida,Pompano,Skilled Nursing Facility,51 West Sample Road,Pompano Beach,Broward,33064
Florida,Sanford,Skilled Nursing Facility,950 Mellonville Avenue,Sanford,Seminole,32771
Florida,Sarasota,Skilled Nursing Facility,1524 East Avenue South,Sarasota,Sarasota,34239
Florida,Savannas Park (Emerald),Skilled Nursing Facility,1655 Southeast Walton Road,Port St. Lucie,Saint Lucie,34952
Florida,Scott Lake,Skilled Nursing Facility,800 Highway 540A E,Lakeland,Polk,33803
Florida,South Heritage,Skilled Nursing Facility,718 Lakeview Avenue South,St. Petersburg,Pinellas,33705
Florida,South Orange (Terra Vista),Skilled Nursing Facility,1730 Lucerne Terrace,Orlando,Orange,32806
Florida,Southside,Independent Living Facility,9601 Southbrook Drive,Jacksonville,Duval,32256
Florida,Tampa,Skilled Nursing Facility,4411 North Habana Avenue,Tampa,Hillsborough,33614
Florida,Tampa Lakes,Skilled Nursing Facility,750 Hayes Road,Lutz,Hillsborough,33549
Florida,Tarpon Bayou (Peninsula),Skilled Nursing Facility,515 Chesapeake Dr.,Tarpon Springs,Pinellas,34689
Florida,The Brookshire (Catalina Gardens),Assisted Living Facility,85 Bulldog Boulevard,Melbourne,Brevard,32901
Florida,The Fairway (Fairway Sun 'n' Pines/Sebring),Assisted Living Facility,5959 Sun 'N Lake Blvd,Sebring,Highlands,33872
Florida,Titusville,Skilled Nursing Facility,1705 Jess Parrish Court,Titusville,Brevard,32796
Florida,Treasure Isle,Skilled Nursing Facility,1735 North Treasure Drive,North Bay Village,Miami-Dade,33141
Florida,Valencia Hills Health & Rehab Ctr,Skilled Nursing Facility,1350 Sleepy Hill Road,Lakeland,Polk,33810
Florida,Windsor Woods,Skilled Nursing Facility,13719 Dallas Drive,Hudson,Pasco,34667
Florida,Winkler Court,Skilled Nursing Facility,3250 Winkler Avenue Exten,Fort Meyers,Lee,33916
Florida,Winter Haven,Skilled Nursing Facility,202 Avenue O NE,Winter Haven,Polk,33881
Florida,Barrington Terrace,Assisted Living Facility,5175 Tamiami Trail East,Naples,Collier,34113
Florida,Grand Villa of Port Charlotte,Assisted Living Facility,2500 Aaron Street,Port Charlotte,Charlotte,33952
Georgia,Bonterra Nursing Center,Skilled Nursing Facility,2801 Felton Drive,East Point,Fulton,30344
Georgia,Brighton Gardens of Buckhead,Assisted Living Facility,3088 Lenox Rd NE,Atlanta,Fulton,30324
Georgia,Cordelia Manor,Assisted Living Facility,1307 Blackshear Road,Cordele,Crisp,31015
Georgia,Fellowship Home at Brookside,Assisted Living Facility,470 Fellowship Home Lane,Valdosta,Lowndes,31602
Georgia,Fellowship Home at Nashville,Assisted Living Facility,1207 E. McPherson Ave.,Nashville,Lowndes,31602
Georgia,Macon Rehab & Healthcare (fka Laurel Baye Macon),Skilled Nursing Facility,505 Coliseum Dr,Macon,Bibb,31217
Georgia,Parkview (Legacy),Skilled Nursing Facility,460 Auburn Avenue,Atlanta,Fulton,30312
Georgia,Scepter (Parkside) (Snellville SNF),Skilled Nursing Facility,3000 Lenora Church Road SW,Snellville,Gwinnitt,30078
Georgia,Toccoa,Skilled Nursing Facility,633 Falls Road,Toccoa,Stephens,30577
Georgia,Washington,Skilled Nursing Facility,112 Hospital Drive,Washington,Wilkes,30673
Georgia,Chapters Buford,Assisted Living Facility,4355 S Lee Street,Buford,Gwinnett,30518
Georgia,Chapters Canton,Assisted Living Facility,125 Riverstone Terrace,Canton,Cherokee,30114
Idaho,Arbor Valley (fka Capital Care/Apex),Skilled Nursing Facility,8211 Ustick Road,Boise,Ada,83704
Idaho,Cherry Ridge (fka Emmett Canyon),Skilled Nursing Facility,501 West Idaho Boulevard,Emmett,Gem,83617
Idaho,Payette,Skilled Nursing Facility,1019 Third Avenue South,Payette,Payette,83661
Idaho,Royal Plaza (Lewiston),Skilled Nursing Facility,2870 Juniper Drive,Lewiston,Nez Perce,83501
Idaho,Teton (Idaho Falls),Skilled Nursing Facility,3111 Channing Way,Idaho,Bonneville,83404
Idaho,Twin Falls Care Center,Skilled Nursing Facility,674 Eastland Drive,Twin Falls,Twin Falls,83301
Idaho,Orchard View,Skilled Nursing Facility,1014 Burrell Avenue,Lewiston,Nez Perce,83501
Illinois,Friendship Village ALF,Assisted Living Facility,350 W Schaumburg Road,Schaumburg,Cook,60194
Illinois,Friendship Village ILF,Independent Living Facility,350 W Schaumburg Road,Schaumburg,Cook,60194
Illinois,Friendship Village Memory Care,Assisted Living Facility,350 W Schaumburg Road,Schaumburg,Cook,60194
Illinois,Friendship Village SNF,Skilled Nursing Facility,350 W Schaumburg Road,Schaumburg,Cook,60194
Illinois,Orland Park,Assisted Living Facility,16051 South La Grange Road,Orland Park,Cook,60467
Indiana,Allison Pointe,Skilled Nursing Facility,5226 E. 82nd Street,Indianapolis,Hamilton,46250
Indiana,American Village Harrison Hall,Skilled Nursing Facility,2026 E 54th St.,Indianapolis,Marion,46220
Indiana,American Village Lincoln Lodge,Independent Living Facility,2026 E 54th St.,Indianapolis,Marion,46220
Indiana,American Village Patriot Place,Independent Living Facility,2026 E 54th St.,Indianapolis,Marion,46220
Indiana,American Village Washington Manor,Assisted Living Facility,2026 E 54th St.,Indianapolis,Marion,46220
Indiana,Arbor Grove Village,Skilled Nursing Facility,1021 East Central Avenue,Greensburg,Decatur,47240
Indiana,Autumn Ridge,Skilled Nursing Facility,600 Washington St,Wabash,Wabash,46992
Indiana,Avalon Village,Skilled Nursing Facility,200 Kingston Circle Drive,Ligonier,Noble,46767
Indiana,Beech Grove ILF,Independent Living Facility,2002 Albany St.,Beech Grove,Marion,46107
Indiana,Beech Grove SNF,Skilled Nursing Facility,2002 Albany St.,Beech Grove,Marion,46107
Indiana,Bridgewater,Skilled Nursing Facility,14751 Carey Road,Carmel,Hamilton,46033
Indiana,Brookville Healthcare Center,Skilled Nursing Facility,11049 State Road 101,Brookville,Franklin,47012
Indiana,Caroleton Rehab & Healthcare (fka Trinity Mission Connorsville),Skilled Nursing Facility,2500 Iowa Avenue,Connersville,Fayette,47331
Indiana,Charlestown Place (Providence),Skilled Nursing Facility,4915 Charlestown Road,New Albany,Floyd,47150
Indiana,Clinton Gardens,Skilled Nursing Facility,375 S 11th St,Clinton,Vermillion,47842
Indiana,DeKalb,Skilled Nursing Facility,520 West Liberty Street,Butler,DeKalb,46721
Indiana,Doctors Neuro,Specialty Hospital,411-417 South Whitlock Street,Bremen,Marshall,46506
Indiana,Dyer,Skilled Nursing Facility,2300 Great Lakes Drive,Dyer,Lake,46311
Indiana,Eagle Creek,Behaviorial Health - SUD,4102 Shore Drive,Indianapolis,Hamilton,46254
Indiana,Eagle Valley Meadows,Skilled Nursing Facility,2233 W Jefferson St.,Indianapolis,Marion,46227
Indiana,Edgewater Woods,Skilled Nursing Facility,1809 N Madison Ave,Anderson,Madison,46011
Indiana,Evergreen Crossings,Skilled Nursing Facility,5404 Georgetown Road,Indianapolis,Hamilton,46254
Indiana,Forest Creek Village,Skilled Nursing Facility,525 E Thompson Rd.,Indianapolis,Marion,46214
Indiana,Franklin Meadows,Skilled Nursing Facility,1285 W Jefferson St.,Franklin,Johnson,46131
Indiana,Greenfield,Skilled Nursing Facility,200 Green Meadows Drive,Greenfield,Hancock,46140
Indiana,Greenwood,Skilled Nursing Facility,377 Westridge Boulevard,Greenwood,Johnson,46142
Indiana,Harcourt Terrace (Greenbriar),Skilled Nursing Facility,8181 Harcourt Road,Indianapolis,Marion,46260
Indiana,Harrison,Skilled Nursing Facility,150 Beechmont Drive,Corydon,Harrison,47112
Indiana,Harrison Terrace (Wellington),Skilled Nursing Facility,1924 Wellesley Boulevard,Indianapolis,Marion,46219
Indiana,Heritage Park ALF,Assisted Living Facility,2001 Hobson Rd.,Fort Wayne,Allen,46805
Indiana,Heritage Park ILF-GH,Independent Living Facility,2001 Hobson Rd.,Fort Wayne,Allen,46805
Indiana,Heritage Park SNF,Skilled Nursing Facility,2001 Hobson Rd.,Fort Wayne,Allen,46805
Indiana,Hillcrest Centre for Health & Rehab,Skilled Nursing Facility,203 Sparks Ave.,Jeffersonville,Clark,47130
Indiana,Kokomo,Skilled Nursing Facility,429 W. Lincoln Road,Kokomo,Howard,46902
Indiana,Lowell Health Care Center,Skilled Nursing Facility,710 Michigan Ave.,Lowell,Lake,46356
Indiana,Maple Park Village,Skilled Nursing Facility,776 N Union St,Westfield,Hamilton,46074
Indiana,Monticello Asst. Living & Healthcare,Skilled Nursing Facility,1120 N Main St.,Monticello,White,47960
Indiana,North Woods Village,Skilled Nursing Facility,2233 W Jefferson St.,Kokomo,Howard,46901
Indiana,Rivercrest,Long Term Acute Care Hospital,1625 East Jefferson Boulevard,Mishawaka,St. Joseph,46545
Indiana,Riverside Village,Skilled Nursing Facility,1400 W Franklin,Elkhart,Elkhart,46516
Indiana,Riverview Village,Skilled Nursing Facility,586 Eastern Blvd.,Clarksville,Clark,47129
Indiana,Riverwalk Village,Skilled Nursing Facility,295 Westfield Rd.,Nobleville,Hamilton,46060
Indiana,Rolling Hills,Skilled Nursing Facility,3625 St. Joseph Road,New Albany,Floyd,47150
Indiana,Rosegate Village (Rosebud),Skilled Nursing Facility,2050 Chester Boulevard,Richmond,Wayne,47374
Indiana,Rosewalk at Lutherwoods ALF,Assisted Living Facility,1302 N Lesley Ave.,Indianapolis,Marion,46219
Indiana,Rosewalk Village - Lafayette,Skilled Nursing Facility,1903 Union St.,Lafayette,Tippecanoe,47904
Indiana,Rosewalk Village of Indianapolis,Skilled Nursing Facility,1302 N Lesley Ave.,Indianapolis,Marion,46219
Indiana,Salem Crossing,Skilled Nursing Facility,200 Connie Ave,Salem,Washington,47167
Indiana,Sellersburg,Skilled Nursing Facility,7823 Old Hwy #60,Sellersburg,Clark,47172
Indiana,Seymour Crossing,Skilled Nursing Facility,707 S Jackson Park Dr,Seymour,Jackson,47274
Indiana,Southpointe,Skilled Nursing Facility,4904 War Admiral Drive,Indianapolis,Hamilton,46237
Indiana,Southwood,Skilled Nursing Facility,2222 Margaret Avenue,Terre Haute,Vigo,47802
Indiana,Spring Mill Meadows ILF- GH,Independent Living Facility,2140 W 86th St.,Indianapolis,Marion,46260
Indiana,Spring Mill Meadows SNF,Skilled Nursing Facility,2140 W 86th St.,Indianapolis,Marion,46260
Indiana,Springhill Village,Skilled Nursing Facility,1001 E Springhill Dr.,Terre Haute,Vigo,47802
Indiana,Summit City,Skilled Nursing Facility,2940 North Clinton Street,Fort Wayne,Allen,46805
Indiana,Timbers of Jasper,Skilled Nursing Facility,2909 Howard Dr,Jasper,Dubois,47546
Indiana,University Nursing Center,Skilled Nursing Facility,1564 S. University Blvd,Upland,Grant,46989
Indiana,Valley View,Skilled Nursing Facility,333 W. Mishawaka Road,Elkhart,Elkhart,46517
Indiana,Washington Health Care,Skilled Nursing Facility,8201 W. Washington St.,Indianapolis,Marion,46237
Indiana,Wedgewood,Skilled Nursing Facility,101 Potters Lane,Clarksville,Clark,47129
Indiana,Whitewater Commons Senior Living,Skilled Nursing Facility,215 West High Street,Liberty,Union,47353
Indiana,Wildwood,Skilled Nursing Facility,7301 E. 16th Street,Indianapolis,Hamilton,46219
Indiana,Williamsport,Skilled Nursing Facility,200 Short Street,Williamsport,Warren,47993
Indiana,Zionsville Meadows ALF,Assisted Living Facility,675 S Ford Rd.,Zionsville,Boone,46077
Indiana,Zionsville Meadows ILF-GH,Independent Living Facility,675 S Ford Rd.,Zionsville,Boone,46077
Indiana,Zionsville Meadows SNF,Skilled Nursing Facility,675 S Ford Rd.,Zionsville,Boone,46077
Indiana,Hawthorne (Madison),Skilled Nursing Facility,7465 S. Madison Avenue,Indianapolis,Marion,46227
Iowa,Heritage,Skilled Nursing Facility,200 Clive Dr. SW,Cedar Rapids,Linn,52404
Iowa,Linn Haven (New Hampton),Skilled Nursing Facility,530 South Linn Avenue,New Hampton,Chickasaw,50659
Iowa,Creston (Crest Haven),Skilled Nursing Facility,1000 East Howard Street,Creston,Union,50801
Iowa,Muscatine,Skilled Nursing Facility,3440 Mulberry Ave,Muscatine,Muscatine,52761
Iowa,Onawa (Elmwood),Skilled Nursing Facility,222 15th Street,Onawa,Monona,51040
Iowa,Rock Rapids ALF (Premiere Estates),Assisted Living Facility,1510 South Carroll Street,Rock Rapids,Lyon,51246
Iowa,Toledo,Skilled Nursing Facility,403 Grandview Drive,Toledo,Tama,52342
Iowa,Jersey,La Haule,Assisted Living Facility,La Route de L'Isle,St. Brelade,Contra Costa
Iowa,Silver Springs,Assisted Living Facility,La Route des Genets,St. Brelade,Contra Costa,JE3 8DB
Kansas,Arma,Skilled Nursing Facility,605 East Melvin Street,Arma,Crawford,66712
Kansas,Colby,Skilled Nursing Facility,105 East College Drive,Colby,Thomas,67701
Kansas,Hutchinson,Skilled Nursing Facility,2301 North Severance,Hutchinson,Reno,67502
Kansas,Lakewood Heights,Skilled Nursing Facility,1319 South Seville Street,Wichita,Sedgwick,67209
Kansas,Lakewood of Haviland,Skilled Nursing Facility,200 North Main Street,Haviland,Kiowa,67059
Kansas,Lakewood of Pratt,Skilled Nursing Facility,1221 Larimer Street,Pratt,Pratt,67124
Kansas,Legacy Park,Skilled Nursing Facility,407 North Locust Street,Peabody,Marion,66866
Kansas,McPherson,Skilled Nursing Facility,1601 North Main Street,McPherson,McPherson,67460
Kansas,Onaga,Skilled Nursing Facility,500 Western Street,Onaga,Pottawatomie,66521
Kansas,Oswego,Skilled Nursing Facility,1104 Ohio Street,Oswego,Labette,67356
Kansas,Smith Center,Skilled Nursing Facility,117 West 1st Street,Smith Center,Smith,66967
Kansas,Wellington,Skilled Nursing Facility,1600 West 8th Street,Wellington,Sumner,67152
Kentucky,Clinton County Care and Rehabilitation,Skilled Nursing Facility,404 Washington Street,Albany,Clinton,42602
Kentucky,Gallatin,Skilled Nursing Facility,499 Center Street,Warsaw,Gallatin,41095
Kentucky,Hermitage Care & Rehab,Skilled Nursing Facility,1614 West Parrish Avenue,Owensboro,Daviess,42301
Kentucky,Homestead Lexington,Skilled Nursing Facility,1608 Versailles Road,Lexington,Fayette,40504
Kentucky,Homestead New Castle,Skilled Nursing Facility,50 Adams Street,New Castle,Henry,40050
Kentucky,Lee County Care & Rehab,Skilled Nursing Facility,246 East Main Street,Beattyville,Lee,41311
Kentucky,Mayfair Manor Care & Rehabilitation,Skilled Nursing Facility,3300 Tates Creek Road,Lexington,Fayette,40502
Kentucky,Morgantown Care & Rehab,Skilled Nursing Facility,206 South Warren Street,Morgantown,Butler,42261
Kentucky,Mountain Manor of Prestonsburg,Skilled Nursing Facility,147 N. Highland Avenue,Prestonsburg,Floyd,41653
Kentucky,Pine Meadows,Skilled Nursing Facility,1608 Hill Rise Drive,Lexington,Fayette,40504
Kentucky,Riverview Manor,Skilled Nursing Facility,79 Sparrow Lane,Prestonsburg,Floyd,41653
Kentucky,Signature Healthcare of East Louisville,Skilled Nursing Facility,2529 Six Mile Lane,Louisville,Jefferson,40220
Kentucky,Signature Healthcare of Georgetown,Skilled Nursing Facility,102 Pocahontas Trail,Georgetown,Scott,40324
Kentucky,Signature Healthcare of South Louisville,Skilled Nursing Facility,1120 Cristland Road,Louisville,Jefferson,40214
Kentucky,The Oaks,Assisted Living Facility,1010 Richwood Way,LaGrange,Oldham,40031
Kentucky,The Richwood,Skilled Nursing Facility,1012 Richwood Way,LaGrange,Oldham,40031
Kentucky,Twin Oaks,Assisted Living Facility,98 Adams Street,New Castle,Henry,40050
Kentucky,Valley View Health Care and Rehab (Spencer Co.),Skilled Nursing Facility,625 Taylorsville Road,Taylorsville,Spencer,40071
Louisiana,Claiborne,Skilled Nursing Facility,1536 Claiborne,Shreveport,Caddo,71103
Louisiana,Columns CCC,Skilled Nursing Facility,3025 Fourth Street,Jonesville,Catahoula,71343
Louisiana,Garden Court,Skilled Nursing Facility,4405 Airline Drive,Bossier City,Bossier,71111-2058
Louisiana,Gonzales,Skilled Nursing Facility,905 West Cornerview Road,Gonzales,Ascension,70737
Louisiana,Heritage - Bossier,Skilled Nursing Facility,2575 Airline Drive,Bossier City,Bossier,71111-5812
Louisiana,Kaplan,Skilled Nursing Facility,1300 West 8th Street,Kaplan,Vermillion,70548
Louisiana,Many North,Skilled Nursing Facility,120 Natchitoches Hwy 6 East,Many,Sabine,71449
Louisiana,Marrero,Skilled Nursing Facility,5301 August Lane,Marrero,Jefferson,70072
Louisiana,Meadowview,Skilled Nursing Facility,400 Meadowview Drive,Minden,Webster,71055
Louisiana,New Iberia Manor North,Skilled Nursing Facility,1803 Jane Street,New Iberia,Iberia,70563
Louisiana,New Iberia Manor South,Skilled Nursing Facility,600 Bayard Street,New Iberia,Iberia,70560
Louisiana,Oak Haven CCC,Skilled Nursing Facility,1515 Highway 107,Center Point,Avoyelles,71323
Louisiana,Patterson,Skilled Nursing Facility,910 Lia Street,Patterson,St. Mary,70392
Louisiana,Pierremont,Skilled Nursing Facility,725 Mitchell Lane,Shreveport,Caddo,71106
Louisiana,St. Clare Manor,Skilled Nursing Facility,7435 Bishop Ott Drive,Baton Rouge,East Baton Rouge,70806
Louisiana,Thibodaux ALF (Maison Bienvenue),Assisted Living Facility,152 Percy Brown Road,Thibodaux,Lafourche,70301
Louisiana,Thibodaux New SNF,Skilled Nursing Facility,150 Percy Brown Road,Thibodaux,Lafourche,70301
Louisiana,Vivian,Skilled Nursing Facility,912 South Pecan Street,Vivian,Caddo,71082
Maryland,Anchorage Nursing & Rehab Center,Skilled Nursing Facility,105 Times Square,Salisbury,Wicomico,21801
Maryland,Blue Point Nursing & Rehab,Skilled Nursing Facility,2525 West Belvedere,Baltimore,Baltimore City,21215
Maryland,Clinton Nursing & Rehab,Skilled Nursing Facility,9211 Stuart Lane,Clinton,Prince Georges,20735
Maryland,Ellicott City Health & Rehab Center,Skilled Nursing Facility,3000 North Ridge Road,Ellicott City,Howard,21043
Maryland,Forestville Health & Rehab Center,Skilled Nursing Facility,7420 Marlboro Pike,Forestville,Prince Georges,20747
Maryland,Holly Hills,Skilled Nursing Facility,531 Stevenson Lane,Towson,Baltimore,21286
Maryland,Kensington Nursing & Rehab,Skilled Nursing Facility,3000 McComas Avenue,Kensington,Montgomery,20895
Maryland,Laurelwood Care Center at Elkton,Skilled Nursing Facility,100 Laurel Drive,Elkton,Cecil,21921
Maryland,Northwest Health & Rehab Center,Skilled Nursing Facility,4601 Pall Mall Road,Baltimore,Baltimore City,21215
Maryland,Pleasant View,Skilled Nursing Facility,4101 Baltimore National Pike,Mount Airy,Carroll,21771
Maryland,South River Health & Rehab,Skilled Nursing Facility,144 Washington Road,Edgewater,Anne Arundel,21037
Maryland,Silver Spring,Skilled Nursing Facility,13908 New Hampshire Avenue,Silver Spring,Montgomery,20904
Massachusetts,Brewster,Assisted Living Facility,0 Harwich Road,Brewster,Barnstable,02631
Massachusetts,Mayflower ALF,Assisted Living Facility,579 Buck Island Road,West Yarmouth,Barnstable,02673
